name,x_percent,y_percent,type
Tuern,10.33,7.77,island
Uttersea,11.00,6.91,town
Ruins of Ascarl,14.59,17.27,town
Trisk,14.15,18.14,town
Ulf of Thuger,13.92,19.00,town
The Purple Rocks,16.84,17.85,island
Utherall,15.04,19.86,town
Vilkstead,16.39,19.58,town
Sea of Moving Ice,31.87,5.59,region
Icewind Dale,35.35,4.61,region
Reghed Glacier,40.09,4.15,region
Kelvin's Cairn,37.03,5.59,mountain
Ironmaster,34.79,7.60,town
Ten-Towns,35.86,7.51,region
Raven Rock,40.33,8.75,town
Fireshear,34.79,11.63,town
Luskan,38.22,13.56,city
Blackford Crossing,39.28,13.47,town
Gauntlgrym,41.02,16.35,city
Mount Hotenow,39.90,17.42,mountain
Gundbarg,27.07,19.52,town
Gundarlun,26.30,21.86,island
Neverwinter,39.84,20.21,city
Helm's Hold,39.50,21.35,town
Mere of Dead Men,39.84,28.08,region
The Endless Ice Sea,51.00,3.74,region
The Spine of the World,44.89,6.16,mountain
Kingdom of Many Arrows,53.11,5.96,region
Cold Wood,59.96,6.25,forest
River Surbrin,55.79,7.40,river
Beorunna's Well,58.59,7.80,town
Mirabar,43.50,10.16,city
Great Worm Cavern,48.01,8.47,region
The Lurkwood,49.44,10.39,forest
Mithral Hall,53.24,12.03,city
One Stone,55.95,11.34,town
Citadel Felbarr,58.59,11.75,city
Settlestone,51.87,12.70,town
Menzoberranzan,53.11,12.49,city
River Mirar,42.53,11.75,river
Morgur's Mound,42.53,15.20,town
Silverymoon,55.60,15.40,city
Sundabar,59.40,15.29,city
River Rauvin,58.16,16.84,river
The Evermoors,52.43,17.42,region
Stone Stand,59.03,18.66,town
Longsaddle,45.27,19.32,town
Neverwinter Wood,42.15,19.81,forest
The Laughingflow,50.94,18.66,river
Flint Rock,49.38,19.52,town
Grandfather Tree,56.10,21.24,region
The High Forest,59.65,22.11,forest
Triboar,46.70,21.72,town
Yartar,48.67,22.15,town
Dessarin River,50.53,22.29,river
Sword Mountains,44.77,24.80,mountain
Sword Mountains,44.58,32.37,mountain
Star Mounts,56.04,24.99,mountain
Karse,59.46,24.94,town
Castle Hartwick,64.90,6.82,town
Hartsvale,67.51,6.45,region
Ice Spires,63.09,8.38,mountain
Citadel Adbar,64.15,10.02,city
The High Ice,76.97,12.21,region
Ascore,66.39,13.76,town
Arn Forest,65.77,14.74,forest
Nether Mountains,64.46,15.98,mountain
Hellgate Dell,62.53,20.30,town
Delimbiyr River,62.28,21.56,river
Delimbiyr River,50.99,38.15,river
The Far Forest,65.02,21.28,forest
The Frozen Sea,69.56,22.49,region
The Frozen Forest,90.96,17.96,forest
Turnback Mountains,87.18,23.97,mountain
Trackless Sea,18.97,29.19,region
Thornhold,40.33,31.54,town
Ruathym,26.45,36.78,island
Ruathym,25.70,37.47,town
The Whale Bones,34.42,36.23,island
Finback,33.05,38.15,island
Northlander Isles,31.62,40.66,region
Korinn Archipelago,35.73,41.93,region
Skadaurak,39.49,46.71,island
Mintarn,41.55,51.84,island
Moonshae Isles,30.50,52.87,region
Unicorn Run,56.10,29.87,river
Amphail,45.77,33.63,town
Southwood,60.33,36.60,forest
Waterdeep,44.21,37.18,city
Secomber,51.99,37.47,town
Daggerford,47.51,41.03,town
Misty Forest,51.06,43.34,forest
Orogoth,56.16,43.53,town
The High Moor,56.91,44.98,region
Serpent Hills,61.40,46.42,region
Trollbark Forest,49.78,48.44,forest
Orlumbor,47.17,48.63,island
Dragonspear Castle,53.92,48.92,town
Warlock's Crypt,48.60,50.98,town
The Plain of Standing Stones,77.35,32.08,region
Greypeak Mountains,63.03,33.63,mountain
Anauroch,78.35,42.19,region
Marsh of Chelimber,64.52,44.21,region
Greycloak Hills,68.07,43.73,region
Evereska,69.66,46.27,city
Najara,61.51,50.07,region
Ss'thar'tiss'ssun,63.18,49.25,city
Desertsmouth Mountains,81.21,52.37,mountain
The Tortured Land,90.57,29.71,region
